# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
3BETAHSD/D1	AT1G47290	AT1G47290.1	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
3BETAHSD/D1	AT1G47290	AT1G47290.2	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
4CL2	AT3G21240	AT3G21240.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
4CLL1	AT1G62940	AT1G62940.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
5MAT	AT3G29590	AT3G29590.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
5PTASE13	AT1G05630	AT1G05630.1	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
5PTASE13	AT1G05630	AT1G05630.2	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
A3G2XYLT	AT5G54060	AT5G54060.1	protein_coding	0	3	2	0	0	0	0	0	0	2	0	0	0	0	0	3	0
A6	AT4G14080	AT4G14080.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AAAS	AT3G56900	AT3G56900.1	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
AAE13	AT3G16170	AT3G16170.1	protein_coding	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0
